Date,NO,NO2,PM10,PM2.5,CO2,TEMP,HUMI
2022-10-13,14.646408432279571,40.583333333333336,115.45833333333333,39.75,569.7083333333334,21.416666666666668,52.375
2022-10-14,26.605125164910394,31.791666666666668,115.33333333333333,37.625,568.3333333333334,21.458333333333332,61.916666666666664
2022-10-15,8.687691699648745,29.375,91.5,37.389221219250906,544.625,21.958333333333332,59.0
2022-10-16,27.58525032982079,26.416666666666668,92.79166666666667,35.11585151752808,533.625,22.083333333333332,57.625
2022-10-17,27.81269169964875,31.333333333333332,126.66666666666667,46.583333333333336,582.5,22.708333333333332,63.75
2022-10-18,26.43807509894624,35.666666666666664,114.29166666666667,39.875,549.9583333333334,22.833333333333332,62.208333333333336
2022-10-19,28.208333333333332,32.583333333333336,129.125,43.708333333333336,581.5,22.916666666666668,60.0
2022-10-20,17.91705006596416,36.198635549673,111.25,38.625,579.7083333333334,23.25,58.208333333333336
2022-10-21,17.541666666666668,35.708333333333336,143.20833333333334,46.541666666666664,565.5,23.041666666666668,56.0
2022-10-22,19.52140843227957,34.333333333333336,118.75,41.625,542.5,22.875,51.208333333333336
2022-10-23,10.437691699648745,31.291666666666668,113.0581660685835,45.639221219250906,517.4583333333334,22.916666666666668,52.125
2022-10-24,15.667816864559143,29.375,123.29166666666667,42.416666666666664,528.9166666666666,22.958333333333332,49.291666666666664
2022-10-25,23.917816864559143,32.583333333333336,123.375,40.375,557.2916666666666,22.541666666666668,51.791666666666664
2022-10-26,21.04205006596416,36.833333333333336,120.0,43.166666666666664,562.2916666666666,23.083333333333332,53.041666666666664
2022-10-27,35.14602503298208,38.948635549673,131.84983273525017,57.03251818419474,592.3047915448901,23.166666666666668,51.958333333333336
2022-10-28,34.416666666666664,35.875,146.29166666666666,57.041666666666664,587.625,24.0,52.0
2022-10-29,33.625,38.125,145.54166666666666,54.541666666666664,570.375,23.958333333333332,50.708333333333336
2022-10-30,17.312691699648745,38.906968883006336,111.22483273525017,42.40751818419475,536.5131248782235,23.24940314806447,46.928322683866554
